id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
125,a,100.0,100.0,4.9,296,183.0,0,0.0,-1,1.0,0.3,306,102.0,53,1,3.1,174.0,73.0,3,222,6.2,12.0,7.0,1.3,10.8,0.0,45142,2628,9141,707,6.2,6.2,0.5,1.68,2.18,13.22,0.05,0.18,0.23,1.4,238.4,181.0,75.0,242.2,85.0,63.0,64.0,263.0,141.0,54.2,166.0,89.0,5.0,,,22,,Vitaly,Janelt,Janelt,,,848,0,4,4,9,0,0,0,4,0,0,8,121,,,,0.0,0.42,0.96,0.85,12.84,21,45,55
126,a,,,4.9,299,185.0,0,0.0,-1,1.0,0.1,499,174.0,43,2,2.1,305.0,135.0,0,189,2.2,190.0,78.0,0.4,8.8,0.0,12426,91,14969,74,2.2,2.2,1.28,2.13,3.41,13.5,0.13,0.22,0.35,1.42,165.4,245.0,103.0,199.8,112.0,80.0,99.0,207.0,116.0,46.3,201.0,103.0,3.0,,5.0,22,,Mathias,Jensen,Jensen,,,854,2,0,4,11,0,0,0,1,0,0,10,78,,,,0.0,0.42,1.16,1.05,8.22,18,19,41
278,a,100.0,100.0,4.4,531,316.0,0,0.0,-1,1.0,0.0,636,259.0,0,0,0.0,648.0,248.0,0,0,0.0,588.0,205.0,0.0,0.0,0.0,4214,21,9275,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,240.0,0.0,637.0,245.0,0.0,612.0,234.0,0.0,642.0,242.0,,,,22,,Jesurun,Rak-Sakyi,J.Rak-Sakyi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
301,i,0.0,0.0,5.2,219,136.0,0,0.0,-3,3.0,0.1,478,166.0,25,0,1.7,360.0,158.0,0,104,0.8,300.0,132.0,0.2,4.8,0.0,16362,2,27623,114,0.0,0.0,1.04,0.43,1.47,13.0,0.14,0.06,0.2,1.78,79.4,341.0,151.0,144.0,162.0,110.0,156.0,129.0,76.0,38.0,244.0,118.0,,,,22,,Carlos,Alcaraz Durán,Alcaraz,Knock - Unknown return date,,656,0,1,3,8,0,0,0,3,0,0,6,60,,,,0.0,0.41,1.1,0.82,8.23,12,10,38
779,a,,,4.5,494,68.0,0,0.0,0,0.0,0.0,716,84.0,0,0,0.0,727.0,78.0,0,0,0.0,676.0,70.0,0.0,0.0,0.0,937,105,308,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0,78.0,0.0,722.0,77.0,0.0,705.0,77.0,0.0,727.0,78.0,,,,22,,Braiden,Graham,Graham,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
746,a,,,4.5,480,295.0,0,0.0,0,0.0,0.0,730,314.0,0,0,0.0,716.0,298.0,0,0,0.0,664.0,261.0,0.0,0.0,0.0,816,8,587,14,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,297.0,0.0,710.0,297.0,0.0,693.0,292.0,0.0,715.0,297.0,,,,22,,Kieran,Morrison,Morrison,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
434,a,,,3.9,716,63.0,0,0.0,-1,1.0,0.3,329,45.0,0,0,0.0,512.0,33.0,0,0,0.0,431.0,28.0,0.0,0.0,0.0,14590,34,21134,137,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,33.0,0.0,494.0,19.0,0.0,456.0,4.0,0.0,505.0,33.0,,,,22,,Tom,Heaton,Heaton,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
439,a,,,4.2,638,156.0,0,0.0,-3,3.0,0.1,554,200.0,0,0,0.0,619.0,243.0,0,0,0.0,551.0,231.0,0.0,0.0,0.0,2977,25,8008,40,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,243.0,0.0,606.0,243.0,0.0,576.0,240.0,0.0,613.0,244.0,,,,22,,Diego,León Blanco,D.Leon,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
495,u,0.0,0.0,4.5,402,245.0,0,0.0,0,0.0,0.0,743,319.0,0,0,0.0,668.0,260.0,0,0,0.0,610.0,219.0,0.0,0.0,0.0,0,0,1586,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0,255.0,0.0,658.0,258.0,0.0,635.0,249.0,0.0,665.0,257.0,,,,22,,Isaac,Hayden,Hayden,Has departed the club as a free agent.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
572,a,100.0,100.0,4.5,437,88.0,0,0.0,0,0.0,0.0,714,245.0,1,0,1.0,449.0,164.0,0,2,0.2,391.0,148.0,0.0,0.2,0.0,967,20,946,18,0.2,0.2,0.06,0.0,0.06,0.06,1.08,0.0,1.08,1.08,0.0,682.0,252.0,0.3,459.0,167.0,4.0,409.0,151.0,0.4,471.0,167.0,,,,22,,Radu,Drăgușin,Dragusin,,,5,0,0,0,0,0,0,0,0,0,0,0,1,,,,0.0,0.0,0.0,0.0,18.0,0,1,1
